auroc,auprc
0.68297128,0.187200235
0.682491731,0.186904203
0.682010037,0.186604756
0.681531436,0.186307626
0.681050699,0.186015012
0.680568445,0.18571916
0.680087115,0.18542255
0.679605088,0.185131148
0.679122066,0.184841802
0.678639301,0.184555868
0.678158419,0.184263727
0.677676664,0.183970473
0.677189883,0.183676347
0.676704154,0.183387854
0.676219748,0.183094153
0.675733964,0.18280531
0.675247595,0.18252149
0.674763112,0.182238475
0.674278919,0.181950366
0.673791366,0.181658734
0.67330554,0.18137855
0.672819351,0.181095266
0.672331726,0.18080922
0.671845567,0.180519217
0.671359668,0.180232057
0.670873227,0.179940686
0.670385335,0.179650964
0.669895509,0.179365851
0.669407186,0.179085982
0.668916783,0.178805418
0.668430957,0.17852317
0.667940348,0.178239687
0.667450627,0.177959436
0.66696172,0.177679868
0.666470841,0.177396396
0.665977616,0.177118806
0.665488511,0.176842269
0.664999693,0.176567205
0.664508212,0.176289049
0.664015367,0.176007815
0.663525874,0.175733602
0.663030541,0.175457758
0.662537837,0.175178938
0.662044617,0.174906227
0.66155242,0.174631685
0.661060096,0.174355994
0.660566228,0.174074154
0.660071363,0.173801799
0.65957713,0.173525329
0.65908378,0.173248214
0.658588805,0.172974147
0.658093717,0.172701449
0.657595332,0.172428318
0.657098821,0.172158618
0.656603453,0.171886854
0.656107289,0.171614042
0.655611188,0.1713459
0.655115668,0.171076338
0.654617786,0.170808564
0.654119942,0.170538976
0.653623946,0.170271016
0.653124661,0.16999382
0.652626271,0.169726995
0.652126689,0.169458132
0.651629702,0.169193247
0.65112991,0.168925106
0.650631455,0.168657655
0.650129987,0.168390436
0.649629056,0.168121486
0.649127582,0.167855877
0.648626859,0.16759106
0.648125691,0.167326063
0.647626964,0.167063242
0.647126361,0.166800261
0.646625119,0.166536347
0.646125122,0.166274463
0.645625126,0.166010967
0.645125307,0.165748372
0.644624939,0.165478658
0.644124799,0.165219631
0.643625314,0.164958469
0.643125533,0.164700963
0.642623212,0.164434055
0.642122777,0.164180018
0.641621693,0.163919965
0.641120283,0.163661334
0.640618231,0.163404297
0.640114399,0.163142964
0.639612173,0.162889032
0.639109737,0.162630408
0.638605922,0.162375448
0.638104694,0.162118484
0.63760203,0.161861263
0.637099028,0.161608329
0.636594541,0.16135354
0.636090234,0.161097992
0.635584343,0.160847242
0.635080697,0.160595205
0.634574624,0.160344234
0.634070647,0.160093802
0.63356834,0.159840125
0.633065704,0.159589843
0.632560939,0.159338465
0.632057247,0.159090906
0.631551086,0.158839631
0.631044298,0.158584726
0.630540706,0.158337774
0.630034586,0.158089021
0.629529266,0.157838545
