sim,auroc,auprc
249,0.647563713,0.17015284
250,0.653120511,0.16849413
251,0.647916774,0.162197776
252,0.643989728,0.163129758
253,0.643978978,0.164863263
254,0.641312372,0.163373469
255,0.641356949,0.166566419
256,0.640926778,0.163039586
257,0.650641902,0.17496928
258,0.648098089,0.167676337
259,0.640439979,0.16130552
260,0.647177326,0.165192663
261,0.640283098,0.163079908
262,0.641548378,0.160885355
263,0.645165733,0.16458977
264,0.648283167,0.16603216
265,0.6414424,0.162229181
266,0.647320884,0.165770341
267,0.644892442,0.167531902
268,0.648064641,0.171851066
269,0.647564626,0.167452851
270,0.647254294,0.165171199
271,0.64798429,0.170143205
272,0.651998106,0.174444921
273,0.650092545,0.168796818
274,0.651632338,0.169831346
275,0.646689757,0.163393534
276,0.651222106,0.163186455
277,0.65087649,0.166874139
278,0.651011409,0.167998487
279,0.647035572,0.167463809
280,0.648618428,0.165916419
281,0.647581974,0.163593602
282,0.63920686,0.16160374
283,0.643644712,0.162217591
284,0.642475976,0.160386649
285,0.645189591,0.168499339
286,0.644098132,0.162888778
287,0.644776547,0.170652195
288,0.641586275,0.163282256
289,0.645579789,0.169143862
290,0.649175684,0.17085694
291,0.64705847,0.166572542
292,0.65326229,0.170113788
293,0.654321432,0.174348807
294,0.65495462,0.172512804
295,0.642687131,0.163404825
296,0.65119809,0.167702467
297,0.648287516,0.169170513
298,0.6438236,0.165099009
299,0.643597939,0.162631198
300,0.641433726,0.162825143
301,0.64404009,0.171191645
302,0.646967099,0.16897989
303,0.643807113,0.163160365
304,0.651698678,0.168063562
305,0.646769045,0.167690731
306,0.645611148,0.167094303
307,0.645987173,0.168360213
308,0.645668094,0.167427491
309,0.644817716,0.167727677
310,0.649522493,0.173506985
311,0.649612941,0.166939088
312,0.653866082,0.171087511
313,0.641443256,0.162261732
314,0.636362872,0.16102416
315,0.644462818,0.164489827
316,0.651466399,0.169748381
317,0.644357606,0.167687524
318,0.645843573,0.166719224
319,0.64957159,0.169803655
320,0.64456135,0.167691211
321,0.652232686,0.165060777
322,0.641888324,0.164176647
323,0.644623261,0.164242562
324,0.641999168,0.16132948
325,0.645795014,0.165146134
326,0.652705122,0.172240364
327,0.644388192,0.164821614
328,0.645767494,0.171975797
329,0.651943701,0.165286445
330,0.648598932,0.169435077
331,0.646791693,0.165408641
332,0.645420802,0.165701147
333,0.646905364,0.16448075
334,0.644598359,0.163037514
335,0.646461561,0.166642599
336,0.638136401,0.160226116
