prevalence,pop_auroc,auprc
0.01,0.53115,0.011101843
0.01,0.5312,0.011103818
0.01,0.53125,0.011105793
0.01,0.5313,0.011107769
0.01,0.53135,0.011109746
0.01,0.5314,0.011111724
0.01,0.53145,0.011113702
0.01,0.5315,0.011115681
0.01,0.53155,0.011117661
0.01,0.5316,0.011119642
0.01,0.53165,0.011121623
0.01,0.5317,0.011123605
0.01,0.53175,0.011125588
0.01,0.5318,0.011127571
0.01,0.53185,0.011129555
0.01,0.5319,0.01113154
0.01,0.53195,0.011133526
0.01,0.532,0.011135512
0.01,0.53205,0.011137499
0.01,0.5321,0.011139487
0.01,0.53215,0.011141476
0.01,0.5322,0.011143465
0.01,0.53225,0.011145455
0.01,0.5323,0.011147446
0.01,0.53235,0.011149437
0.01,0.5324,0.01115143
0.01,0.53245,0.011153423
0.01,0.5325,0.011155416
0.01,0.53255,0.011157411
0.01,0.5326,0.011159406
0.01,0.53265,0.011161402
0.01,0.5327,0.011163398
0.01,0.53275,0.011165396
0.01,0.5328,0.011167394
0.01,0.53285,0.011169393
0.01,0.5329,0.011171392
0.01,0.53295,0.011173393
0.01,0.533,0.011175394
0.01,0.53305,0.011177396
0.01,0.5331,0.011179398
0.01,0.53315,0.011181401
0.01,0.5332,0.011183405
0.01,0.53325,0.01118541
0.01,0.5333,0.011187416
0.01,0.53335,0.011189422
0.01,0.5334,0.011191429
0.01,0.53345,0.011193437
0.01,0.5335,0.011195445
0.01,0.53355,0.011197454
0.01,0.5336,0.011199464
0.01,0.53365,0.011201475
0.01,0.5337,0.011203486
0.01,0.53375,0.011205499
0.01,0.5338,0.011207512
0.01,0.53385,0.011209525
0.01,0.5339,0.01121154
0.01,0.53395,0.011213555
0.01,0.534,0.011215571
0.01,0.53405,0.011217587
0.01,0.5341,0.011219605
0.01,0.53415,0.011221623
0.01,0.5342,0.011223642
0.01,0.53425,0.011225661
0.01,0.5343,0.011227682
0.01,0.53435,0.011229703
0.01,0.5344,0.011231725
0.01,0.53445,0.011233747
0.01,0.5345,0.011235771
0.01,0.53455,0.011237795
0.01,0.5346,0.01123982
0.01,0.53465,0.011241845
0.01,0.5347,0.011243872
0.01,0.53475,0.011245899
0.01,0.5348,0.011247927
0.01,0.53485,0.011249955
