iter,top_agree,roc_params,roc_est,roc_roc,roc_prc,prc_params,prc_est,prc_roc,prc_prc
46,FALSE,"0.07, 139",0.6195332420082192,0.6171385737638007,0.1538214365236064,"0.11, 42",0.15443960216431096,0.6215123617942564,0.1554921838033801
47,FALSE,"0.07, 90",0.6490375866172045,0.6223882497052619,0.15296319750740323,"0.11, 67",0.15870339946306047,0.6162989455707424,0.1504619551566996
48,TRUE,"0.02, 97",0.6078692917637413,0.6263096841881559,0.15304842227494939,"0.02, 97",0.13780021726197794,0.6263096841881559,0.15304842227494939
49,TRUE,"0.01, 123",0.6266471017608415,0.631118976099112,0.15487377226833685,"0.01, 123",0.1729832151219831,0.631118976099112,0.15487377226833685
50,FALSE,"0.02, 46",0.6271033849765023,0.6257967651450657,0.15303723002685685,"0.02, 97",0.1570573594168317,0.6240881500995493,0.15287281954452078
51,TRUE,"0.04, 71",0.639050985411313,0.6224159118471656,0.14797879693611637,"0.04, 71",0.16538988073035768,0.6224159118471656,0.14797879693611637
52,FALSE,"0.08, 70",0.6502705874682141,0.6277417583488353,0.15934357289760262,"0.04, 111",0.17410549060961272,0.6313253132458576,0.16035784294011268
53,FALSE,"0.12, 118",0.5953275387323768,0.6098837674871119,0.14758280787199732,"0.29, 131",0.14605657570594982,0.5891294803375392,0.13274274842681755
54,FALSE,"0.1, 35",0.6566409023187914,0.6277104853566984,0.14957877042276946,"0.01, 42",0.18321985067323557,0.6117924467768461,0.14904704036564315
55,FALSE,"0.1, 38",0.6178473937345639,0.616712415985368,0.14487358856081303,"0.06, 104",0.15613007589886385,0.6148937864689162,0.14539641643124637
56,TRUE,"0.11, 97",0.6101215890569849,0.6229443476750436,0.14937064595585048,"0.11, 97",0.13307759588846665,0.6229443476750436,0.14937064595585048
57,FALSE,"0.08, 115",0.6390739833414992,0.6232868970360985,0.15131946027522886,"0.13, 66",0.16478134364358463,0.6216232151122634,0.15087743130067283
58,TRUE,"0.08, 70",0.6403903648671619,0.626563462696441,0.15396407142024246,"0.08, 70",0.16455880809961157,0.626563462696441,0.15396407142024246
59,FALSE,"0.13, 48",0.6162740353368197,0.6171697541336669,0.14165486610199848,"0.16, 91",0.16188141290213617,0.6061118230818896,0.1365740170617389
60,TRUE,"0.01, 78",0.6432666060054595,0.622778460695083,0.15657532477913222,"0.01, 78",0.16586832036664068,0.622778460695083,0.15657532477913222
61,TRUE,"0.11, 46",0.6228234458898699,0.6186671063269847,0.1502369964129659,"0.11, 46",0.15927086189045078,0.6186671063269847,0.1502369964129659
62,FALSE,"0.04, 32",0.6378348750120026,0.6272563332986874,0.15349900330718955,"0.07, 86",0.14905258055204731,0.6260928446541755,0.1537492155940354
63,FALSE,"0.06, 30",0.6194377506024458,0.6296499574019456,0.15802210142695808,"0.04, 40",0.15992695658976894,0.6274125015424606,0.15728482573342817
64,FALSE,"0.03, 98",0.6216417477514963,0.6320931130814221,0.1565504211262185,"0.04, 140",0.16675777227108915,0.6263878784735024,0.15425521510224305
65,TRUE,"0.14, 81",0.6230189282964533,0.6137285960291787,0.14472509995658836,"0.14, 81",0.1446447838787305,0.6137285960291787,0.14472509995658836
66,TRUE,"0.05, 46",0.6177173351522963,0.6236272139931477,0.15131936735017587,"0.05, 46",0.15141166795378233,0.6236272139931477,0.15131936735017587
67,TRUE,"0.01, 101",0.6277641191626925,0.6319178566139724,0.16035016441059383,"0.01, 101",0.16557921176856918,0.6319178566139724,0.16035016441059383
68,TRUE,"0.01, 139",0.6024402803747663,0.6255401406017538,0.15453293826847145,"0.01, 139",0.14536423789756184,0.6255401406017538,0.15453293826847145
69,FALSE,"0.09, 87",0.6182578567928886,0.6172123904313399,0.15107265309183462,"0.2, 81",0.15009733788282706,0.602952848057782,0.1404273340478757
70,TRUE,"0.12, 85",0.6310562049415552,0.6070387470139006,0.148953251374159,"0.12, 85",0.16491911326817835,0.6070387470139006,0.148953251374159
71,TRUE,"0.07, 45",0.6171954524092832,0.6261033330127482,0.1523919337223657,"0.07, 45",0.13896085551304638,0.6261033330127482,0.1523919337223657
72,FALSE,"0.23, 33",0.6471072603465688,0.6146355236285266,0.14472644320513764,"0.05, 137",0.17490940056832513,0.6231580515871656,0.15183757415586516
73,TRUE,"0.05, 34",0.5940860322570969,0.6294780830573018,0.15379071783307902,"0.05, 34",0.13090354062504733,0.6294780830573018,0.15379071783307902
74,TRUE,"0.02, 131",0.6404563589276965,0.6226700523818129,0.1508919411373648,"0.02, 131",0.16284595572474167,0.6226700523818129,0.1508919411373648
75,TRUE,"0.02, 75",0.6163165315121639,0.6310641060642538,0.15643015468147922,"0.02, 75",0.14832255947980882,0.6310641060642538,0.15643015468147922
76,FALSE,"0.02, 65",0.6182478576928077,0.6281191729836919,0.15261762628579387,"0.18, 60",0.1315209261306692,0.6148236473530243,0.14456753337455752
77,FALSE,"0.11, 36",0.6273780359767621,0.6281624887855957,0.15400324365188883,"0.09, 45",0.15972864207488455,0.629110111103239,0.15503931894878084
78,FALSE,"0.15, 59",0.6399774020338169,0.6152237100048861,0.14849243434243214,"0.11, 126",0.15588436245606307,0.6095909435800687,0.1463773232476223
79,FALSE,"0.03, 143",0.6046375826175644,0.6244355539343674,0.14912495243051105,"0.12, 86",0.1603225262544446,0.614093010182959,0.14366511780811322
80,TRUE,"0.02, 28",0.6440905318521333,0.6210083615531152,0.1489162271078221,"0.02, 28",0.16372325119419776,0.6210083615531152,0.1489162271078221
81,TRUE,"0.06, 35",0.6214055734983851,0.6208776404662862,0.14925764417830253,"0.06, 35",0.14552415344884173,0.6208776404662862,0.14925764417830253
82,TRUE,"0.11, 35",0.6282389584937356,0.6198910164354731,0.14543348629038394,"0.11, 35",0.14998896551348742,0.6198910164354731,0.14543348629038394
83,TRUE,"0.12, 111",0.6276385910443939,0.6030473238336105,0.14195763110043383,"0.12, 111",0.16701421608058775,0.6030473238336105,0.14195763110043383
84,TRUE,"0.01, 25",0.6168000545860293,0.6189669991106437,0.15016138087443012,"0.01, 25",0.1365358258152243,0.6189669991106437,0.15016138087443012
85,TRUE,"0.11, 56",0.6227764501194892,0.6250649151617254,0.14788651215481677,"0.11, 56",0.14877362253969623,0.6250649151617254,0.14788651215481677
86,TRUE,"0.03, 145",0.6216685498305152,0.6235237342174191,0.15586348903828,"0.03, 145",0.14802771539137077,0.6235237342174191,0.15586348903828
87,TRUE,"0.04, 99",0.6266286034256917,0.6180897577689208,0.14716633954546143,"0.04, 99",0.1582716269294334,0.6180897577689208,0.14716633954546143
88,FALSE,"0.07, 34",0.6131768140867322,0.631096496137058,0.15931170423509536,"0.06, 44",0.1596745340352884,0.6298749487180141,0.15889293090816897
89,TRUE,"0.03, 60",0.6289573938345548,0.6280221976560992,0.1531805196550455,"0.03, 60",0.13506088813040598,0.6280221976560992,0.1531805196550455
90,FALSE,"0.16, 73",0.6190202881740643,0.6086339663579186,0.14289685442137134,"0.05, 116",0.14452950334223572,0.6244184711317281,0.15205266924860222
91,FALSE,"0.15, 33",0.6404673579377856,0.6260218093505667,0.15002908893901482,"0.12, 93",0.16931369628611084,0.6158810619231554,0.14624502087610056
92,TRUE,"0.03, 40",0.5911927926486616,0.6236947272102797,0.1505081097036666,"0.03, 40",0.13794360183550552,0.6236947272102797,0.1505081097036666
93,TRUE,"0.1, 38",0.6066194042536172,0.622379586573922,0.1504102520626841,"0.1, 38",0.13270975676731825,0.622379586573922,0.1504102520626841
